item,phasetype,survey,max_time,text,shuffle_1,notes,cue_ms,isi_ms,probe_ms,response_ms,task_title,task_body_text,weight,
0,intro_static,,user,,,no_mobile,,,,,,,,
0,axcpt_infoconsent,,user,Analysing how AX-CPT Procedural Changes Alter Participants' Responses,,,,,,,,,,
0,keyboard_bookend,,user,,,,,,,,Instructions,"<p>Thank you for taking part in the study. You will now complete your first AX continuous performance task. Within the task, you will initially see a letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> →  press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>To begin you'll complete 10 practice trials provide feedback as to whether you gave the correct response. After that, you'll undertake 200 experimental trials divided up into 4 blocks of 50, with a break provided between each block.<br><br>When you are ready to start, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin the task.</p>",,
2 to 11,axcpt,,user,,lp,give_feedback,1000,4000,500,1000,,,,
0,keyboard_bookend,,user,,,,,,,,End of Practice Trials,"<p>That completes the 10 practice trials. You will now have 200 experimental trials, divided up into 4 blocks of 50 trials. In between each block you will be given a break.<br><br>Once again, you will initially see a letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as 
shown and press the <b>space bar</b> with your thumb to begin.</p>",,
2 to 51,axcpt,,user,,lb1,,1000,4000,500,1000,,,,
0,keyboard_bookend,,user,,,,,,,,End of Block 1,"<p>That completes the first block of 50 experimental trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with an initial letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",,
52 to 101,axcpt,,user,,lb2,,1000,4000,500,1000,,,,
0,keyboard_bookend,,user,,,,,,,,End of Block 2,"<p>That completes the second block of 50 experimental trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with an initial letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of  experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",,
102 to 151,axcpt,,user,,lb3,,1000,4000,500,1000,,,,
