item,phasetype,survey,max_time,text,notes,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,evie_intro,,user,Welcome,no_mobile,off,off,,,,
0,tde_survey,evie_demo.csv,user,,,,,,,,
0,evie_bookend,,user,Thank you!,ppt,,,Please let the researcher know you are ready to continue.,You will now complete a task that isn't computer based. The researcher will explain what is required of you.,,
0,task_bookend,,user,Start Tetris,,,,Tetris Instructions,"<b>Thank you for completing the previous task.</b>
<br><br>You will now play the arcade game: <b>Tetris</b>. In the centre of the screen you will see a box and different shaped blocks will fall from the top of the box. You can rotate the falling block using the up-arrow key or moved it horizontally using the left and right arrow keys. If you wish to increase the speed the block falls at, press the down-arrow key. The aim of Tetris is to gain as many points as possible, by organising the falling blocks so that they complete a row. Completing rows will increase your score and for every 1000 points scored, the speed that the blocks fall will increase. Completed rows will disappear, providing more space to organise the shapes. <br><br>On the right side of the game area, your score will be displayed along with the next shape that is going to fall. To pause the game, press the letter ‘P’ on the keyboard, however, this will not pause the timer. It just stops the shapes from falling. <br><br>This game will last for 10 minutes. The timer is displayed in the same way as in the previous games, with a bar underneath the game box. As the bar empties, this indicates that the time left is decreasing. When the bar turns red, this indicates that there is very little time left. Once the timer runs out, the task will end, and you will automatically be taken to the next screen.<br><br>

<div style=""
  max-width: 545px;
  margin: 0 auto 16px auto;
  padding: 10px 12px;
  background: #f1f5ff;
  border-radius: 10px;
"">
  <div style=""font-weight:700; margin-top:10px; margin-bottom:15px;"">🏆 High Scores (Research Team)</div>
  <div style=""display:flex; flex-wrap:wrap; gap:8px;"">
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥇 Rich <b>8,600</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Evie <b>7,800</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Chris <b>7,700</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🎮 Phil <b>6,700</b></span>
  </div>
  <div style=""font-weight:700; margin-top:10px;margin-bottom:6px;"">CAN YOU BEAT US⁉️</div>
</div>

To start playing Tetris, please press the blue start button below. Good luck and have fun getting as many points as you can!",,
0,tetris,,600,,seconds,,,,,,
0,evie_bookend,,user,Thank you!,ppt,,,Please let the researcher know you are ready to continue.,You will now complete a task that isn't computer based. The researcher will explain what is required of you.,,
0,task_bookend,,user,Start Breakout,,,,Breakout Instructions,"<b>Thank you for completing the previous task.</b>
<br><br>You will now play the arcade game: <b>Breakout</b>, which will be displayed on the next screen. <br><br>You will see a box in the centre of the screen that forms the playing area. At the bottom of the box, you will see a ball attached to a paddle. At the top of the box, you will see rows of blocks. Press the spacebar to release the ball towards the blocks and start the game. The ball will travel up the box and bounce off the blocks, destroying them, heading back towards the paddle. Use the left and right arrow keys, move the paddle so that the ball bounces off it back towards the blocks.  Depending on where the ball lands on the paddle, the angle that it bounces off changes. For example, landing on the left side will bounce the ball up diagonally to the left. If the ball passes the paddle, and hits the bottom of the box, you lose a life.<br><br>You score points for each block that you break and the aim of the game is to gain as many points as possible. Your total points (and lives) are displayed at the top of the box. When all 3 lives are lost, the game restarts with points reverting to 0, so you can have another attempt. <br><br>This game lasts 5 minutes. The timer is visible underneath the game and the bar empties to reflect the time remaining. When the bar turns red, this indicates that there is very limited time remaining. The timer will continue going down even if the game restarts. Once the timer runs out the game will end, and you will automatically be taken to the next screen. <br><br>

<div style=""
  max-width: 580px;
  margin: 0 auto 16px auto;
  padding: 10px 12px;
  background: #f1f5ff;
  border-radius: 10px;
"">
  <div style=""font-weight:700; margin-top:10px; margin-bottom:15px;"">🏆 High Scores (Research Team)</div>
  <div style=""display:flex; flex-wrap:wrap; gap:8px;"">
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥇 Evie <b>11,300</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Rich <b>9,500</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥉 Chris <b>9,000</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🎮 Phil <b>6,700</b></span>
  </div>
<div style=""font-weight:700; margin-top:10px;margin-bottom:6px;"">CAN YOU BEAT US⁉️</div>
</div>

To start the game, please press the blue start button below. Try to see how many points you can get without losing all your lives! Good luck and have fun!",,
0,breakout,,300,,,,,,,,
0,evie_bookend,,user,Thank you!,ppt,,,Please let the researcher know you are ready to continue.,You will now complete a task that isn't computer based. The researcher will explain what is required of you.,,
0,task_bookend,,user,Start Tetris,,,,Tetris Instructions,"<b>Thank you for completing the previous task.</b>
<br><br>You will now play the arcade game: <b>Tetris</b>. In the centre of the screen you will see a box and different shaped blocks will fall from the top of the box. You can rotate the falling block using the up-arrow key or moved it horizontally using the left and right arrow keys. If you wish to increase the speed the block falls at, press the down-arrow key. The aim of Tetris is to gain as many points as possible, by organising the falling blocks so that they complete a row. Completing rows will increase your score and for every 1000 points scored, the speed that the blocks fall will increase. Completed rows will disappear, providing more space to organise the shapes. <br><br>On the right side of the game area, your score will be displayed along with the next shape that is going to fall. To pause the game, press the letter ‘P’ on the keyboard, however, this will not pause the timer. It just stops the shapes from falling. <br><br>This game will last for 10 minutes. The timer is displayed in the same way as in the previous games, with a bar underneath the game box. As the bar empties, this indicates that the time left is decreasing. When the bar turns red, this indicates that there is very little time left. Once the timer runs out, the task will end, and you will automatically be taken to the next screen.<br><br>

<div style=""
  max-width: 545px;
  margin: 0 auto 16px auto;
  padding: 10px 12px;
  background: #f1f5ff;
  border-radius: 10px;
"">
  <div style=""font-weight:700; margin-top:10px; margin-bottom:15px;"">🏆 High Scores (Research Team)</div>
  <div style=""display:flex; flex-wrap:wrap; gap:8px;"">
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥇 Rich <b>8,600</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Evie <b>7,800</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🥈 Chris <b>7,700</b></span>
    <span style=""background:#fff; padding:6px 10px; border-radius:999px; border:1px solid rgba(0,0,0,0.10);"">🎮 Phil <b>6,700</b></span>
  </div>
  <div style=""font-weight:700; margin-top:10px;margin-bottom:6px;"">CAN YOU BEAT US⁉️</div>
</div>

To start playing Tetris, please press the blue start button below. Good luck and have fun getting as many points as you can!",,
0,tetris,,600,,seconds,,,,,,
0,evie_bookend,,user,Thank you!,researcher,,,End of Experimental Tasks,You have now finished all the experimental tasks within the study. We hope you enjoyed it.<br><br>Please let the researcher present know you are ready to be debriefed.<br><br><strong>Thank you for your participation</strong>,,
0,evie_results,,user,,,,,,,,
0,upload_data,,user,,,,,,,,
